"","area_m","green_zone_part","indust_part","preschool_quota","school_education_centers_raion","school_education_centers_top_20_raion","healthcare_centers_raion","university_top_20_raion","sport_objects_raion","culture_objects_top_25","culture_objects_top_25_raion","shopping_centers_raion","oil_chemistry_raion","radiation_raion","big_market_raion","ekder_male","X16_29_female","build_count_block","build_count_frame","build_count_monolith","build_count_mix"
"1",6407578.1,0.189727117,6.99893e-05,5001,5,0,1,0,7,"no",0,16,"no","no","no",10580,8083,25,0,2,0
"2",9589336.912,0.372602044,0.049637257,3119,8,0,1,0,6,"yes",1,3,"no","no","no",9266,7593,83,0,4,0
"3",4808269.831,0.112559644,0.118537385,1463,7,0,1,0,5,"no",0,0,"no","yes","no",7609,10356,59,0,4,0
"4",12583535.69,0.194702869,0.069753361,6839,10,0,1,0,17,"no",0,11,"no","no","no",9083,1842,9,12,50,2
"5",8398460.622,0.015233744,0.037316452,3240,9,0,4,2,25,"no",0,10,"no","yes","no",8563,2581,48,0,16,1
"6",7506452.02,0.007670134,0.486245621,852,3,0,0,0,7,"no",0,6,"no","yes","no",2608,2522,24,0,2,0
"7",10320473.23,0.523439075,0.042307271,933,5,0,3,0,17,"no",0,6,"no","no","no",5351,9360,23,0,12,1
"8",6407578.1,0.189727117,6.99893e-05,5001,5,0,1,0,7,"no",0,16,"no","no","no",10580,8083,25,0,2,0
"9",4787424.272,0.03845587,0.122090347,3272,6,0,4,0,7,"no",0,0,"no","no","no",6980,9174,101,0,11,0
"10",52351766.54,0.070662054,0.035145267,4050,8,0,0,0,5,"no",0,3,"no","yes","no",11024,7388,68,14,21,1
"11",14883622.34,0.024444186,0.158249043,3848,5,0,1,0,4,"no",0,0,"no","yes","no",2488,12465,12,36,14,9
"12",7632939.805,0.051843748,0.43788524,1503,3,0,0,0,3,"no",0,5,"no","yes","no",4371,8340,55,0,12,0
"13",52351766.54,0.070662054,0.035145267,4050,8,0,0,0,5,"no",0,3,"no","yes","no",11024,7388,68,14,21,1
"14",11638050.15,0.068202173,0.042031587,3240,9,0,2,1,29,"yes",3,5,"no","yes","no",10594,5350,99,1,33,1
"15",8993640.418,0.066940871,0.306977489,1768,4,0,5,1,12,"no",0,7,"no","yes","no",6371,13386,68,1,0,0
"16",11754772.16,0.188712765,0.090799103,10175,14,0,5,0,16,"no",0,15,"no","no","no",12303,18008,3,0,17,0
"17",7984443.568,0.372734826,0.000995363,4547,8,1,1,0,7,"no",0,5,"no","yes","no",8404,2874,155,0,6,0
"18",5293464.965,0.023464016,0.195781053,2279,8,1,3,0,2,"no",0,2,"no","no","no",5130,11561,71,0,4,0
"19",14883622.34,0.024444186,0.158249043,3848,5,0,1,0,4,"no",0,0,"no","yes","no",2488,12465,12,36,14,9
"20",14286990.83,0.389353565,0.194489265,5041,7,0,3,0,5,"no",0,5,"no","yes","no",12424,1429,88,0,8,0
"21",15319902.35,0.051548926,0.036270089,1105,1,0,1,0,0,"no",0,1,"no","no","no",1234,138678,25,97,18,6
"22",7887684.174,0.222646321,0.188783766,2707,4,0,0,0,10,"no",0,1,"no","no","no",7471,10235,58,0,6,0
"23",9249237.174,0.374067926,0,4116,5,0,3,0,1,"no",0,5,"no","no","no",12538,5743,50,1,9,0
"24",6879019.638,0.061476659,0.282797669,2546,5,0,0,0,5,"no",0,6,"no","no","no",8428,11960,47,0,5,0
"25",7887684.174,0.222646321,0.188783766,2707,4,0,0,0,10,"no",0,1,"no","no","no",7471,10235,58,0,6,0
"26",6982964.492,0.348985814,0,3422,7,1,2,0,6,"no",0,5,"no","yes","no",9321,8765,72,4,5,0
"27",10053051.74,0.096270197,0.300322518,5088,4,0,1,0,10,"no",0,9,"no","yes","no",12703,6229,35,0,5,0
"28",8591335.051,0.058543047,0.025609157,4249,7,0,3,0,6,"no",0,1,"no","no","no",4780,13334,13,83,18,8
"29",8659075.461,0.416866452,0.069660344,3107,9,0,1,0,8,"no",0,2,"no","yes","no",11500,160956,104,0,7,0
"30",8338438.453,0.037753826,0.127811589,2974,6,0,1,1,13,"no",0,3,"no","no","no",6455,9471,34,0,1,0
"31",16751119.46,0.338150977,0.041124634,4606,9,0,1,0,6,"no",0,10,"no","no","no",12102,16805,14,25,9,0
"32",5264733.751,0.184282943,0.050755569,3082,4,0,0,0,10,"no",0,1,"no","no","no",6668,11620,58,0,14,0
"33",6407578.1,0.189727117,6.99893e-05,5001,5,0,1,0,7,"no",0,16,"no","no","no",10580,8083,25,0,2,0
"34",10046857.44,0.071056234,0.246031548,3150,5,0,3,1,7,"no",0,3,"no","yes","no",4819,14342,4,0,3,0
"35",4389199.094,0.033225884,0.13012277,1860,3,0,0,0,1,"no",0,0,"no","no","no",2335,3269,22,7,3,0
"36",11754772.16,0.188712765,0.090799103,10175,14,0,5,0,16,"no",0,15,"no","no","no",12303,18008,3,0,17,0
"37",17881913.61,0.260652636,0.133215333,5153,13,0,3,0,13,"no",0,4,"no","yes","yes",9536,9590,58,0,4,0
"38",8287309.439,0.071119749,0.265088676,3390,5,0,3,0,6,"no",0,2,"no","yes","no",8516,19376,129,0,4,0
"39",10518366.87,0.334905313,0.012338886,3494,7,0,2,0,7,"no",0,4,"no","no","no",10307,10571,45,0,2,0
"40",10518366.87,0.334905313,0.012338886,3494,7,0,2,0,7,"no",0,4,"no","no","no",10307,10571,45,0,2,0
"41",12495435.25,0.027650988,0.341071945,2235,9,0,3,0,12,"no",0,11,"no","no","no",6708,12527,47,0,3,0
"42",8287309.439,0.071119749,0.265088676,3390,5,0,3,0,6,"no",0,2,"no","yes","no",8516,19376,129,0,4,0
"43",5586342.585,0.086219843,0.040242764,1820,3,1,3,0,9,"no",0,1,"no","no","no",7717,5609,73,0,7,0
"44",7811375.434,0.127002383,0.135649789,2627,5,0,3,0,11,"no",0,11,"no","yes","no",11958,11748,44,0,3,0
"45",7587523.226,0.398794394,0,3420,6,0,0,0,3,"no",0,5,"no","yes","yes",6281,9457,1,0,5,0
"46",12583535.69,0.194702869,0.069753361,6839,10,0,1,0,17,"no",0,11,"no","no","no",9083,1842,9,12,50,2
"47",3799999.352,0.232655892,0.149666373,1838,3,0,4,0,6,"no",0,1,"no","yes","no",5104,12050,49,0,7,0
"48",8591335.051,0.058543047,0.025609157,4249,7,0,3,0,6,"no",0,1,"no","no","no",4780,13334,13,83,18,8
"49",8338438.453,0.037753826,0.127811589,2974,6,0,1,1,13,"no",0,3,"no","no","no",6455,9471,34,0,1,0
"50",7632939.805,0.051843748,0.43788524,1503,3,0,0,0,3,"no",0,5,"no","yes","no",4371,8340,55,0,12,0
"51",8287309.439,0.071119749,0.265088676,3390,5,0,3,0,6,"no",0,2,"no","yes","no",8516,19376,129,0,4,0
"52",15094874.77,0.300284261,0.033493708,7610,11,0,3,0,11,"no",0,8,"no","yes","no",19275,138754,112,5,8,1
"53",4808269.831,0.112559644,0.118537385,1463,7,0,1,0,5,"no",0,0,"no","yes","no",7609,10356,59,0,4,0
"54",5686537.395,0.073520961,0.000699119,0,2,0,0,0,10,"yes",1,3,"no","yes","no",3966,9390,36,0,3,0
"55",17881913.61,0.260652636,0.133215333,5153,13,0,3,0,13,"no",0,4,"no","yes","yes",9536,9590,58,0,4,0
"56",4395332.782,0.063755213,0.038692987,2215,4,0,2,0,7,"no",0,5,"no","yes","no",7105,9353,108,0,4,0
"57",8659075.461,0.416866452,0.069660344,3107,9,0,1,0,8,"no",0,2,"no","yes","no",11500,160956,104,0,7,0
"58",26155137.04,0.137846204,0.041116354,11926,13,1,1,0,13,"no",0,4,"no","no","no",7410,10230,173,19,116,5
"59",3496889.653,0.067926965,0.174739084,1744,6,0,0,0,5,"no",0,3,"no","no","no",4608,6200,17,14,5,0
"60",6879019.638,0.061476659,0.282797669,2546,5,0,0,0,5,"no",0,6,"no","no","no",8428,11960,47,0,5,0
"61",7792845.494,0.528252203,0,2794,4,0,0,0,7,"no",0,4,"no","no","no",708,98068,37,29,127,1
"62",15045565.2,0.637398943,0.006076152,1313,6,0,6,0,16,"no",0,6,"no","yes","no",7961,12863,85,3,13,0
"63",5586342.585,0.086219843,0.040242764,1820,3,1,3,0,9,"no",0,1,"no","no","no",7717,5609,73,0,7,0
"64",4395332.782,0.063755213,0.038692987,2215,4,0,2,0,7,"no",0,5,"no","yes","no",7105,9353,108,0,4,0
"65",5686537.395,0.073520961,0.000699119,0,2,0,0,0,10,"yes",1,3,"no","yes","no",3966,9390,36,0,3,0
"66",5725729.259,0.141280723,0.175054867,3916,4,0,1,0,6,"no",0,0,"no","yes","no",7691,7935,95,0,3,0
"67",16751119.46,0.338150977,0.041124634,4606,9,0,1,0,6,"no",0,10,"no","no","no",12102,16805,14,25,9,0
"68",5686537.395,0.073520961,0.000699119,0,2,0,0,0,10,"yes",1,3,"no","yes","no",3966,9390,36,0,3,0
"69",3497818.591,0.146940785,0.210473241,1040,2,0,3,1,8,"no",0,0,"no","no","no",2936,17553,46,0,8,0
"70",7462269.563,0.387099854,0.007720282,3648,6,0,0,0,4,"no",0,4,"no","no","no",11931,8842,14,0,2,0
"71",6407578.1,0.189727117,6.99893e-05,5001,5,0,1,0,7,"no",0,16,"no","no","no",10580,8083,25,0,2,0
"72",17526506.21,0.133372781,0.309479124,1830,3,0,0,0,7,"no",0,6,"no","no","no",7300,14543,81,4,24,0
"73",8087656.379,0.048011029,0.007658515,3318,10,0,3,1,24,"yes",1,19,"no","yes","no",9567,12162,70,1,19,3
"74",7126815.285,0.125881935,0.458174486,1208,4,0,1,0,6,"no",0,5,"no","no","no",4434,10265,55,0,6,0
"75",5686537.395,0.073520961,0.000699119,0,2,0,0,0,10,"yes",1,3,"no","yes","no",3966,9390,36,0,3,0
"76",15094874.77,0.300284261,0.033493708,7610,11,0,3,0,11,"no",0,8,"no","yes","no",19275,138754,112,5,8,1
"77",7128794.338,0.075790042,0.100455735,4792,7,1,1,0,7,"no",0,6,"no","no","yes",8321,16660,28,0,3,0
"78",7984443.568,0.372734826,0.000995363,4547,8,1,1,0,7,"no",0,5,"no","yes","no",8404,2874,155,0,6,0
"79",8392316.21,0.426396297,0.002211665,4523,6,0,1,0,3,"no",0,5,"no","yes","yes",12885,9843,53,0,8,0
"80",15045565.2,0.637398943,0.006076152,1313,6,0,6,0,16,"no",0,6,"no","yes","no",7961,12863,85,3,13,0
"81",14286990.83,0.389353565,0.194489265,5041,7,0,3,0,5,"no",0,5,"no","yes","no",12424,1429,88,0,8,0
"82",26155137.04,0.137846204,0.041116354,11926,13,1,1,0,13,"no",0,4,"no","no","no",7410,10230,173,19,116,5
"83",5264733.751,0.184282943,0.050755569,3082,4,0,0,0,10,"no",0,1,"no","no","no",6668,11620,58,0,14,0
"84",8398460.622,0.015233744,0.037316452,3240,9,0,4,2,25,"no",0,10,"no","yes","no",8563,2581,48,0,16,1
"85",26155137.04,0.137846204,0.041116354,11926,13,1,1,0,13,"no",0,4,"no","no","no",7410,10230,173,19,116,5
"86",4934147.224,0.11640032,0.122190486,1578,3,0,1,0,6,"no",0,3,"no","no","no",7214,5366,49,0,5,0
"87",8659075.461,0.416866452,0.069660344,3107,9,0,1,0,8,"no",0,2,"no","yes","no",11500,160956,104,0,7,0
"88",4389199.094,0.033225884,0.13012277,1860,3,0,0,0,1,"no",0,0,"no","no","no",2335,3269,22,7,3,0
